,last_update_date,backend_name,N_qubtis,N_cx,N_measure,cx_01,cx_02,cx_03,cx_04,cx_05,cx_06,cx_10,cx_12,cx_13,cx_14,cx_15,cx_16,cx_20,cx_21,cx_23,cx_24,cx_25,cx_26,cx_30,cx_31,cx_32,cx_34,cx_35,cx_36,cx_40,cx_41,cx_42,cx_43,cx_45,cx_46,cx_50,cx_51,cx_52,cx_53,cx_54,cx_56,cx_60,cx_61,cx_62,cx_63,cx_64,cx_65,measure_0,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6,edge_error_01,edge_length_01,edge_error_02,edge_length_02,edge_error_03,edge_length_03,edge_error_04,edge_length_04,edge_error_05,edge_length_05,edge_error_06,edge_length_06,edge_error_10,edge_length_10,edge_error_12,edge_length_12,edge_error_13,edge_length_13,edge_error_14,edge_length_14,edge_error_15,edge_length_15,edge_error_16,edge_length_16,edge_error_20,edge_length_20,edge_error_21,edge_length_21,edge_error_23,edge_length_23,edge_error_24,edge_length_24,edge_error_25,edge_length_25,edge_error_26,edge_length_26,edge_error_30,edge_length_30,edge_error_31,edge_length_31,edge_error_32,edge_length_32,edge_error_34,edge_length_34,edge_error_35,edge_length_35,edge_error_36,edge_length_36,edge_error_40,edge_length_40,edge_error_41,edge_length_41,edge_error_42,edge_length_42,edge_error_43,edge_length_43,edge_error_45,edge_length_45,edge_error_46,edge_length_46,edge_error_50,edge_length_50,edge_error_51,edge_length_51,edge_error_52,edge_length_52,edge_error_53,edge_length_53,edge_error_54,edge_length_54,edge_error_56,edge_length_56,edge_error_60,edge_length_60,edge_error_61,edge_length_61,edge_error_62,edge_length_62,edge_error_63,edge_length_63,edge_error_64,edge_length_64,edge_error_65,edge_length_65,T1_0,T2_0,readout_error_0,T1_1,T2_1,readout_error_1,T1_2,T2_2,readout_error_2,T1_3,T2_3,readout_error_3,T1_4,T2_4,readout_error_4,T1_5,T2_5,readout_error_5,T1_6,T2_6,readout_error_6,0,1,2,3,4,5,6
0,2023-07-06 13:10:36-07:00,ibm_lagos,7,53,7,6,0,0,0,0,0,4,7,5,0,0,0,0,2,0,0,0,0,0,4,0,0,9,0,0,0,0,0,3,0,0,0,0,3,2,4,0,0,0,0,0,4,1,1,1,1,1,1,1,0.008839737634772499,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.008839737634772499,362.66666666666663,0.00669159892068355,256,0.00669159892068355,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,334.22222222222223,100000,100000,100000,100000,0.005859328396554814,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.005859328396554814,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,0.010462617213787023,576,0.010462617213787023,611.5555555555555,0.007378428337134868,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.007378428337134868,334.22222222222223,152.5735928754439,39.21381878671814,0.010399999999999965,102.82979803790602,79.31984287200223,0.016699999999999937,202.25044088962846,159.49619272597567,0.008599999999999941,185.41020096774506,71.94669899148268,0.01629999999999998,147.45149860628774,20.08901009822603,0.020100000000000007,135.96840596644395,74.71398088207246,0.012299999999999978,44.73471752386207,92.60007292397317,0.013700000000000045,2,1,0,3,4,5,6
1,2023-07-06 13:10:36-07:00,ibm_lagos,7,40,7,2,0,0,0,0,0,1,4,5,0,0,0,0,1,0,0,0,0,0,2,0,0,11,0,0,0,0,0,6,0,0,0,0,3,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0.008839737634772499,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.008839737634772499,362.66666666666663,0.00669159892068355,256,0.00669159892068355,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,334.22222222222223,100000,100000,100000,100000,0.005859328396554814,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.005859328396554814,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,0.010462617213787023,576,0.010462617213787023,611.5555555555555,0.007378428337134868,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.007378428337134868,334.22222222222223,152.5735928754439,39.21381878671814,0.010399999999999965,102.82979803790602,79.31984287200223,0.016699999999999937,202.25044088962846,159.49619272597567,0.008599999999999941,185.41020096774506,71.94669899148268,0.01629999999999998,147.45149860628774,20.08901009822603,0.020100000000000007,135.96840596644395,74.71398088207246,0.012299999999999978,44.73471752386207,92.60007292397317,0.013700000000000045,2,1,0,3,4,5,6
2,2023-07-06 13:10:36-07:00,ibm_lagos,7,23,7,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,7,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.008839737634772499,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.008839737634772499,362.66666666666663,0.00669159892068355,256,0.00669159892068355,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,334.22222222222223,100000,100000,100000,100000,0.005859328396554814,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.005859328396554814,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,0.010462617213787023,576,0.010462617213787023,611.5555555555555,0.007378428337134868,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.007378428337134868,334.22222222222223,152.5735928754439,39.21381878671814,0.010399999999999965,102.82979803790602,79.31984287200223,0.016699999999999937,202.25044088962846,159.49619272597567,0.008599999999999941,185.41020096774506,71.94669899148268,0.01629999999999998,147.45149860628774,20.08901009822603,0.020100000000000007,135.96840596644395,74.71398088207246,0.012299999999999978,44.73471752386207,92.60007292397317,0.013700000000000045,0,1,2,3,4,5,6
3,2023-07-06 13:10:36-07:00,ibm_lagos,7,37,7,3,0,0,0,0,0,4,9,2,0,0,0,0,4,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,1,1,1,1,1,1,1,0.008839737634772499,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.008839737634772499,362.66666666666663,0.00669159892068355,256,0.00669159892068355,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.00831410895259102,334.22222222222223,100000,100000,100000,100000,0.005859328396554814,291.55555555555554,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.005859328396554814,327.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,0.010462617213787023,576,0.010462617213787023,611.5555555555555,0.007378428337134868,298.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.007378428337134868,334.22222222222223,152.5735928754439,39.21381878671814,0.010399999999999965,102.82979803790602,79.31984287200223,0.016699999999999937,202.25044088962846,159.49619272597567,0.008599999999999941,185.41020096774506,71.94669899148268,0.01629999999999998,147.45149860628774,20.08901009822603,0.020100000000000007,135.96840596644395,74.71398088207246,0.012299999999999978,44.73471752386207,92.60007292397317,0.013700000000000045,2,1,0,3,6,5,4
4,2023-07-06 14:11:03-07:00,ibm_perth,7,73,7,4,0,0,0,0,0,2,2,14,0,0,0,0,2,0,0,0,0,0,4,0,0,21,0,0,0,0,0,6,0,0,0,0,7,3,5,0,0,0,0,0,3,1,1,1,1,1,1,1,0.020806349254658407,604.4444444444445,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.020806349254658407,640,0.019730471137662936,590.2222222222222,0.019730471137662936,625.7777777777777,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,284.44444444444446,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,320,100000,100000,100000,100000,0.010731332345540884,369.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.010731332345540884,405.3333333333333,100000,100000,100000,100000,100000,100000,100000,100000,0.005324879498795482,320,0.005324879498795482,355.55555555555554,0.012441106586927486,391.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012441106586927486,426.66666666666663,232.10854200150402,97.29120709375657,0.027800000000000047,179.44928375142112,52.73351415171037,0.026499999999999968,237.0332968346234,141.85959545618354,0.02740000000000009,223.0096706269962,230.21800889010842,0.017199999999999993,204.5280345882287,135.54429699063743,0.023800000000000043,88.2061433158078,48.69717646518062,0.03520000000000001,234.95690229041142,240.48845807262606,0.009000000000000008,0,1,2,3,4,5,6
5,2023-07-06 14:11:03-07:00,ibm_perth,7,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0.020806349254658407,604.4444444444445,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.020806349254658407,640,0.019730471137662936,590.2222222222222,0.019730471137662936,625.7777777777777,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,284.44444444444446,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,320,100000,100000,100000,100000,0.010731332345540884,369.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.010731332345540884,405.3333333333333,100000,100000,100000,100000,100000,100000,100000,100000,0.005324879498795482,320,0.005324879498795482,355.55555555555554,0.012441106586927486,391.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012441106586927486,426.66666666666663,232.10854200150402,97.29120709375657,0.027800000000000047,179.44928375142112,52.73351415171037,0.026499999999999968,237.0332968346234,141.85959545618354,0.02740000000000009,223.0096706269962,230.21800889010842,0.017199999999999993,204.5280345882287,135.54429699063743,0.023800000000000043,88.2061433158078,48.69717646518062,0.03520000000000001,234.95690229041142,240.48845807262606,0.009000000000000008,0,1,2,3,4,5,6
6,2023-07-06 14:11:03-07:00,ibm_perth,7,43,7,6,0,0,0,0,0,1,6,4,0,0,0,0,5,0,0,0,0,0,2,0,0,5,0,0,0,0,0,6,0,0,0,0,1,3,3,0,0,0,0,0,1,1,1,1,1,1,1,1,0.020806349254658407,604.4444444444445,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.020806349254658407,640,0.019730471137662936,590.2222222222222,0.019730471137662936,625.7777777777777,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,284.44444444444446,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,320,100000,100000,100000,100000,0.010731332345540884,369.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.010731332345540884,405.3333333333333,100000,100000,100000,100000,100000,100000,100000,100000,0.005324879498795482,320,0.005324879498795482,355.55555555555554,0.012441106586927486,391.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012441106586927486,426.66666666666663,232.10854200150402,97.29120709375657,0.027800000000000047,179.44928375142112,52.73351415171037,0.026499999999999968,237.0332968346234,141.85959545618354,0.02740000000000009,223.0096706269962,230.21800889010842,0.017199999999999993,204.5280345882287,135.54429699063743,0.023800000000000043,88.2061433158078,48.69717646518062,0.03520000000000001,234.95690229041142,240.48845807262606,0.009000000000000008,0,1,2,3,4,5,6
7,2023-07-06 14:11:03-07:00,ibm_perth,7,69,7,5,0,0,0,0,0,2,4,10,0,0,0,0,4,0,0,0,0,0,5,0,0,6,0,0,0,0,0,12,0,0,0,0,3,7,6,0,0,0,0,0,5,1,1,1,1,1,1,1,0.020806349254658407,604.4444444444445,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.020806349254658407,640,0.019730471137662936,590.2222222222222,0.019730471137662936,625.7777777777777,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,284.44444444444446,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012488752348075782,320,100000,100000,100000,100000,0.010731332345540884,369.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.010731332345540884,405.3333333333333,100000,100000,100000,100000,100000,100000,100000,100000,0.005324879498795482,320,0.005324879498795482,355.55555555555554,0.012441106586927486,391.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.012441106586927486,426.66666666666663,232.10854200150402,97.29120709375657,0.027800000000000047,179.44928375142112,52.73351415171037,0.026499999999999968,237.0332968346234,141.85959545618354,0.02740000000000009,223.0096706269962,230.21800889010842,0.017199999999999993,204.5280345882287,135.54429699063743,0.023800000000000043,88.2061433158078,48.69717646518062,0.03520000000000001,234.95690229041142,240.48845807262606,0.009000000000000008,3,1,2,0,6,5,4
8,2023-07-06 13:40:59-07:00,ibm_nairobi,7,31,7,4,0,0,0,0,0,2,2,6,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0.00674549708072672,305.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.00674549708072672,341.3333333333333,0.007221158491486135,277.3333333333333,0.007221158491486135,312.88888888888886,100000,100000,100000,100000,100000,100000,100000,100000,0.007666927423816305,270.22222222222223,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.007666927423816305,305.77777777777777,100000,100000,100000,100000,0.013826764574333211,391.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.013826764574333211,426.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,0.008631919653405568,248.88888888888889,0.008631919653405568,284.44444444444446,0.013695367608600545,241.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.013695367608600545,277.3333333333333,137.28713791488428,33.08460199508078,0.02180000000000004,109.40602382044702,79.12117568686102,0.07210000000000005,91.22057094050805,121.80177859067298,0.03309999999999991,124.48604217248192,85.26005031008276,0.02970000000000006,87.64125130608546,62.42225288292154,0.04039999999999999,94.53425924476204,18.60115453473826,0.027100000000000013,35.214903946401115,140.5952683672727,0.018900000000000028,6,5,4,3,0,1,2
9,2023-07-06 13:40:59-07:00,ibm_nairobi,7,47,7,4,0,0,0,0,0,1,10,4,0,0,0,0,5,0,0,0,0,0,6,0,0,5,0,0,0,0,0,1,0,0,0,0,3,2,4,0,0,0,0,0,2,1,1,1,1,1,1,1,0.00674549708072672,305.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.00674549708072672,341.3333333333333,0.007221158491486135,277.3333333333333,0.007221158491486135,312.88888888888886,100000,100000,100000,100000,100000,100000,100000,100000,0.007666927423816305,270.22222222222223,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.007666927423816305,305.77777777777777,100000,100000,100000,100000,0.013826764574333211,391.1111111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.013826764574333211,426.66666666666663,100000,100000,100000,100000,100000,100000,100000,100000,0.008631919653405568,248.88888888888889,0.008631919653405568,284.44444444444446,0.013695367608600545,241.77777777777777,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,0.013695367608600545,277.3333333333333,137.28713791488428,33.08460199508078,0.02180000000000004,109.40602382044702,79.12117568686102,0.07210000000000005,91.22057094050805,121.80177859067298,0.03309999999999991,124.48604217248192,85.26005031008276,0.02970000000000006,87.64125130608546,62.42225288292154,0.04039999999999999,94.53425924476204,18.60115453473826,0.027100000000000013,35.214903946401115,140.5952683672727,0.018900000000000028,6,5,4,3,0,1,2
